Y,X,garden_name,county,address,city,zip_code
34.05757316,-84.654286,Acworth Intermediate School,Cobb,4220 Cantrell Road,Acworth,30101
33.75505745,-84.5142291,Adamsville Elementary School,Fulton,286 WILSON MILL RD SW,ATLANTA,30331
34.02408983,-84.48989757,Addison Elementary School,Cobb,3055 Ebenezer Rd,Marietta,30066
34.06804253,-84.30136954,Amana Academy Charter School,Fulton,285 South Main Street,Alpharetta,30009
33.77512146,-84.0481418,Anderson-Livsey Elementary School,Gwinnett,4521 CENTERVILLE HWY,SNELLVILLE,30039
33.64583014,-84.13116945,Arabia Mountain High School,Dekalb,6610 Brownsmill Road,Lithonia,30038
33.8725408,-84.1410433,Arcado Elementary School,Gwinnett,5150 ARCADO RD SW,LILBURN,30047
33.73540702,-84.46251492,BEECHER HILLS ELEMENTARY SCHOOL,Fulton,2257 BOLLING BROOK DR SW,ATLANTA,30311
34.01482648,-84.54824037,BELLS FERRY ELEMENTARY SCHOOL,Cobb,2600 BELLS FERRY RD,MARIETTA,30066
33.891057,-84.53524772,BELMONT HILLS ELEMENTARY SCHOOL,Cobb,605 GLENDALE PL SE,SMYRNA,30080
33.76048931,-84.40324475,BETHUNE ELEMENTARY SCHOOL,Fulton,220 NORTHSIDE DR NW,ATLANTA,30314
34.02822148,-84.59629052,BIG SHANTY ELEMENTARY SCHOOL,Cobb,1575 BEN KING RD NW,KENNESAW,30144
34.03629219,-84.52763281,BLACKWELL ELEMENTARY SCHOOL,Cobb,3470 CANTON RD,MARIETTA,30066
33.81750381,-84.45495554,BOLTON ACADEMY,Fulton,2268 ADAMS DR NW,ATLANTA,30318
33.81079323,-84.33766405,BRIAR VISTA ELEMENTARY SCHOOL,Dekalb,1131 BRIAR VISTA TER NE,ATLANTA,30324
33.83708878,-84.2232519,BROCKETT ELEMENTARY SCHOOL,Dekalb,1855 Brockett Road,Tucker,30084
33.6995999,-84.37250657,BURGESS-PETERSON ELEMENTARY SCHOOL,Fulton,2025 Jonesboro Road,Atlanta,30315
33.71794252,-84.46538331,CASCADE ELEMENTARY SCHOOL,Fulton,2326 VENETIAN DR SW,ATLANTA,30311
33.6863104,-84.29153521,CEDAR GROVE MIDDLE SCHOOL,Dekalb,2300 WILDCAT RD,DECATUR,30034
33.76901346,-84.39593289,Centennial Place Elementary School,Fulton,531 Luckie Street,Atlanta,30313
