school_year,aggregation_type,county_name,school_name,subgroup_name,enroll_cnt,grad_cnt,drop_cnt,grad_pct,drop_pct
2019-20,District,Lowndes County,All Column Values,Asian/Pacific Islander,10,10,0,1,0
2019-20,District,Taliaferro County,All Column Values,Students without Disability,10,10,0,1,0
2019-20,District,White County,All Column Values,Hispanic,10,10,0,1,0
2019-20,District,Calhoun City,All Column Values,Asian/Pacific Islander,10,10,0,1,0
2019-20,District,Cartersville City,All Column Values,Multiracial,10,10,0,1,0
2019-20,District,Dalton Public Schools,All Column Values,Asian/Pacific Islander,10,10,0,1,0
2019-20,District,Decatur City,All Column Values,Homeless,10,10,0,1,0
2019-20,District,Marietta City,All Column Values,Asian/Pacific Islander,10,10,0,1,0
2019-20,District,Rome City,All Column Values,Multiracial,10,10,0,1,0
2019-20,School,Carroll County,Temple High School,Hispanic,10,10,0,1,0
2019-20,School,Carroll County,Temple High School,Multiracial,10,10,0,1,0
2019-20,School,Savannah-Chatham County,Woodville-Tompkins Technical and Career High School,Multiracial,10,10,0,1,0
2019-20,School,Savannah-Chatham County,Savannah Arts Academy,Active Duty,10,10,0,1,0
2019-20,School,Cherokee County,Creekview High School,Limited English Proficient,10,10,0,1,0
2019-20,School,Coffee County,Wiregrass Regional College and Career Academy,Black,10,10,0,1,0
2019-20,School,Douglas County,Alexander High School,Homeless,10,10,0,1,0
2019-20,School,Effingham County,South Effingham High School,Active Duty,10,10,0,1,0
2019-20,School,Floyd County,Pepperell High School,Homeless,10,10,0,1,0
2019-20,School,Forsyth County,South Forsyth High School,Limited English Proficient,10,10,0,1,0
2019-20,School,Greene County,Lake Oconee Charter High School,Economically Disadvantaged,10,10,0,1,0
2019-20,School,Gwinnett County,"Gwinnett School of Mathematics, Science and Technology",Multiracial,10,10,0,1,0
2019-20,School,Gwinnett County,McClure Health Science High School,Black,10,10,0,1,0
2019-20,School,Habersham County,Habersham Success Academy,Female,10,10,0,1,0
2019-20,School,Hall County,Flowery Branch High,Multiracial,10,10,0,1,0
2019-20,School,Hall County,Cherokee Bluff High School,Black,10,10,0,1,0
2019-20,School,Houston County,Perry High School,Multiracial,10,10,0,1,0
2019-20,School,Lowndes County,Lowndes High School,Asian/Pacific Islander,10,10,0,1,0
2019-20,School,Griffin-Spalding County,Griffin High School,Multiracial,10,10,0,1,0
2019-20,School,Taliaferro County,Taliaferro County School,Students without Disability,10,10,0,1,0
2019-20,School,Troup County,LaGrange High School,Asian/Pacific Islander,10,10,0,1,0
2019-20,School,Walker County,LaFayette High School,Black,10,10,0,1,0
2019-20,School,Walton County,Monroe Area High School,Hispanic,10,10,0,1,0
2019-20,School,White County,White County High School,Hispanic,10,10,0,1,0
2019-20,School,Atlanta Public Schools,"Maynard H. Jackson, Jr. High School",Multiracial,10,10,0,1,0
2019-20,School,Calhoun City,Calhoun High School,Asian/Pacific Islander,10,10,0,1,0
2019-20,School,Cartersville City,Cartersville High School,Multiracial,10,10,0,1,0
2019-20,School,Dalton Public Schools,Dalton High School,Asian/Pacific Islander,10,10,0,1,0
2019-20,School,Decatur City,Decatur High School,Homeless,10,10,0,1,0
2019-20,School,Marietta City,Marietta High School,Asian/Pacific Islander,10,10,0,1,0
2019-20,School,Rome City,Rome High School,Multiracial,10,10,0,1,0
