school_year,aggregation_type,county_name,school_name,subgroup_name,enroll_cnt,grad_cnt,drop_cnt,grad_pct,drop_pct
2019-20,School,Taliaferro County,Taliaferro County School,All Students,11,11,0,1,0
2019-20,School,Candler County,Metter Career Academy,All Students,14,13,1,0.928571429,0.071428571
2019-20,School,Muscogee County,Rainey McCullers School of the Arts,All Students,14,14,0,1,0
2019-20,School,Commission Charter Schools- Fulton Leadership Academy,Fulton Leadership Academy,All Students,17,16,1,0.941176471,0.058823529
2019-20,School,Berrien County,Berrien Academy Performance Learning Center,All Students,18,11,7,0.611111111,0.388888889
2019-20,School,Murray County,Pleasant Valley Innovative School,All Students,22,18,4,0.818181818,0.181818182
2019-20,School,Commission Charter Schools- CCAT School,Statesboro STEAM Academy,All Students,22,22,0,1,0
2019-20,School,Webster County,Webster County High School,All Students,23,21,2,0.913043478,0.086956522
2019-20,School,Dublin City,Moore Street Facility,All Students,24,22,2,0.916666667,0.083333333
2019-20,School,Habersham County,Habersham Success Academy,All Students,25,24,1,0.96,0.04
2019-20,School,Clarke County,Classic City High School,All Students,26,13,13,0.5,0.5
2019-20,School,Quitman County,Quitman County High School,All Students,26,19,7,0.730769231,0.269230769
2019-20,School,Bleckley County,Bleckley County Success Academy,All Students,27,21,6,0.777777778,0.222222222
2019-20,School,Stewart County,Stewart County High School,All Students,27,25,2,0.925925926,0.074074074
2019-20,School,Pike County,Zebulon High School,All Students,28,25,3,0.892857143,0.107142857
2019-20,School,DeKalb County,Tapestry Public Charter School,All Students,29,25,4,0.862068966,0.137931034
2019-20,School,Griffin-Spalding County,AZ Kelsey Academy,All Students,32,21,11,0.65625,0.34375
2019-20,School,Worth County,Worth County Achievement Center,All Students,34,12,22,0.352941176,0.647058824
2019-20,School,Atlanta Public Schools,Corretta Scott King Womens' Leadership Academy,All Students,34,34,0,1,0
2019-20,School,Talbot County,Central Elementary/High School,All Students,35,28,7,0.8,0.2
2019-20,School,Commission Charter Schools- Pataula Charter Academy,Pataula Charter Academy,All Students,35,32,3,0.914285714,0.085714286
2019-20,School,Brooks County,Delta Innovative School,All Students,36,28,8,0.777777778,0.222222222
2019-20,School,Sumter County,Furlow Charter School,All Students,36,29,7,0.805555556,0.194444444
2019-20,School,Glascock County,Glascock County Middle/High School,All Students,38,35,3,0.921052632,0.078947368
2019-20,School,Warren County,Warren County High School,All Students,43,39,4,0.906976744,0.093023256
2019-20,School,Echols County,Echols County High School,All Students,44,41,3,0.931818182,0.068181818
2019-20,School,Atlanta Public Schools,Atlanta Classical Academy,All Students,44,43,1,0.977272727,0.022727273
2019-20,School,Gwinnett County,McClure Health Science High School,All Students,46,45,1,0.97826087,0.02173913
2019-20,School,Savannah-Chatham County,Savannah Early College High School,All Students,49,49,0,1,0
2019-20,School,Atlanta Public Schools,B.E.S.T Academy,All Students,49,38,11,0.775510204,0.224489796
2019-20,School,State Charter Schools II- Baconton Community Charter School,Baconton Community Charter School,All Students,49,49,0,1,0
2019-20,School,Coffee County,Wiregrass Regional College and Career Academy,All Students,54,52,2,0.962962963,0.037037037
2019-20,School,Calhoun County,Calhoun County High School,All Students,56,52,4,0.928571429,0.071428571
2019-20,School,Montgomery County,Montgomery County High School,All Students,58,49,9,0.844827586,0.155172414
2019-20,School,Decatur County,New Beginning Learning Center,All Students,60,41,19,0.683333333,0.316666667
2019-20,School,Greene County,Lake Oconee Charter High School,All Students,60,57,3,0.95,0.05
