report_school_year,aggregation_type,county_name,school_name,subgroup_name,enroll_cnt,grad_cnt,drop_cnt,grad_pct,drop_pct
2019-20,School,DELAWARE,CHARLOTTE VALLEY SCHOOL,All Students,21,0,0,0,0
2019-20,School,DELAWARE,CHARLOTTE VALLEY SCHOOL,All Students,22,0,1,0,0.045454545
2019-20,School,DELAWARE,CHARLOTTE VALLEY SCHOOL,All Students,21,0,0,0,0
2019-20,School,DELAWARE,CHARLOTTE VALLEY SCHOOL,All Students,22,0,1,0,0.045454545
2019-20,School,ERIE,PS 42 OCCUPATIONAL TRAINING CENTER,All Students,30,0,6,0,0.2
2019-20,School,ERIE,PS 42 OCCUPATIONAL TRAINING CENTER,All Students,28,0,2,0,0.071428571
2019-20,School,ERIE,PS 42 OCCUPATIONAL TRAINING CENTER,All Students,7,0,2,0,0.285714286
2019-20,School,ERIE,PS 42 OCCUPATIONAL TRAINING CENTER,All Students,28,0,2,0,0.071428571
2019-20,School,ERIE,PS 42 OCCUPATIONAL TRAINING CENTER,All Students,7,0,2,0,0.285714286
2019-20,School,ERIE,PS 42 OCCUPATIONAL TRAINING CENTER,All Students,30,0,6,0,0.2
2019-20,School,ERIE,P.S. 84,All Students,14,0,2,0,0.142857143
2019-20,School,ERIE,P.S. 84,All Students,5,0,0,0,0
2019-20,School,ERIE,P.S. 84,All Students,5,0,0,0,0
2019-20,School,ERIE,P.S. 84,All Students,14,0,2,0,0.142857143
2019-20,School,BRONX,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,All Students,5,0,5,0,1
2019-20,School,BRONX,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,All Students,5,0,5,0,1
2019-20,School,BRONX,NEW EXPLORERS HIGH SCHOOL,All Students,7,0,6,0,0.857142857
2019-20,School,BRONX,NEW EXPLORERS HIGH SCHOOL,All Students,7,0,6,0,0.857142857
2019-20,School,BRONX,URBAN DOVE TEAM CHARTER SCHOOL II,All Students,57,0,1,0,0.01754386
2019-20,School,BRONX,URBAN DOVE TEAM CHARTER SCHOOL II,All Students,57,0,1,0,0.01754386
2019-20,School,BRONX,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY,All Students,8,0,8,0,1
2019-20,School,BRONX,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY,All Students,8,0,8,0,1
2019-20,School,BRONX,LEADERSHIP INSTITUTE,All Students,5,0,5,0,1
2019-20,School,BRONX,LEADERSHIP INSTITUTE,All Students,5,0,5,0,1
2019-20,School,BRONX,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,All Students,6,0,5,0,0.833333333
2019-20,School,BRONX,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,All Students,6,0,5,0,0.833333333
2019-20,School,BRONX,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,All Students,9,0,8,0,0.888888889
2019-20,School,BRONX,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,All Students,9,0,8,0,0.888888889
2019-20,School,KINGS,BROOKLYN LABORATORY CHARTER SCHOOL,All Students,6,0,1,0,0.166666667
2019-20,School,KINGS,BROOKLYN LABORATORY CHARTER SCHOOL,All Students,6,0,1,0,0.166666667
2019-20,School,QUEENS,NEW DAWN CHARTER HIGH SCHOOL II,All Students,34,0,1,0,0.029411765
2019-20,School,QUEENS,NEW DAWN CHARTER HIGH SCHOOL II,All Students,34,0,1,0,0.029411765
2019-20,School,ONONDAGA,GEORGE FOWLER HIGH SCHOOL,All Students,5,0,5,0,1
2019-20,School,ONONDAGA,GEORGE FOWLER HIGH SCHOOL,All Students,5,0,5,0,1
2019-20,School,ONONDAGA,ONONDAGA CNTY SHERIFF'S DEPT,All Students,14,0,12,0,0.857142857
2019-20,School,ONONDAGA,ONONDAGA CNTY SHERIFF'S DEPT,All Students,8,0,8,0,1
2019-20,School,ONONDAGA,ONONDAGA CNTY SHERIFF'S DEPT,All Students,8,0,8,0,1
2019-20,School,ONONDAGA,ONONDAGA CNTY SHERIFF'S DEPT,All Students,14,0,12,0,0.857142857
2019-20,School,ORANGE,KIRYAS JOEL VILLAGE SCHOOL,All Students,6,0,2,0,0.333333333
